Papers
paper id;first name;last name;institution;track;title
386;Jackson;Harter;Oregon State University;10;Verification of Burnup-Depletion Results for Vented Nuclear Fuel in MCNPX Using ORIGEN-ARP
391;Lulu;Li;;20;A Low Order Acceleration Scheme for Using Methods of Characteristics to Solve Transport Equation
395;Wesley;Deason;Oregon State University;15;Fission Product Transport Modeling Using STELLA
399;Alex;Salazar;Masaachusetts Institute of Technology;7;Effect of Temperature on Permeability of Cement Sealant for Deep Borehole Repositories
400;Jacob;DeWitte;MIT;16;Maximizing the US Nuclear Fleet Through Life Extension and Mega Uprates
404;Eric;Forrest;MIT;22;EXPERIMENTAL STUDY OF TURBULENT SINGLE-PHASE HEAT TRANSFER IN A PROTOTYPIC MATERIALS TEST REACTOR COOLANT CHANNEL
""
Posters
paper id;first name;last name;institution;track;title
135;Taylor;Lane;Texas A&M University;8;A Flux-Limited Diffusion Method for Simulating Radiative Shocks
143;Floren;Rubio;Los Alamos National Lab;11;Corrosion and Oxygen Control Studies Using a Lead Bismuth Eutectic Flow Loop (DELTA)
139;Jacquelyn;Dorhout;University of Nevada Las Vegas;23;Synthesis of Rapid Separation Targets by Hydrothermal Methods
141;Dominic;M. Geleskie;The Pennsylvania State University  ;6;CARBON DIOXIDE EMISSIONS FROM THE NUCLEAR FUEL CYCLE COMPARED TO EMISSIONS FROM A COAL-FIRED POWER PLANT
142;chris;gosdin;The Pennsylvania State University ;16;Revision  To Spadaccini_Gosdin_ANSabstract
185;David;Amos;University of Houston - Downtown;11;A Quantum Mechanical Study of Ce(IV)-tetrakis(chatecolato) as a Model for Pu(IV)-tetrakis(chatecholato)
146;Price;Collins;The University of Tennessee, Knoxville;9;Fault Simulation for Integral Pressurized Water Reactors
157;William;Sames;Texas A&M University;11;Delayed Hydride Cracking in Zirconium Alloys
161;Jenelle;Parson;Colorado State University;18;Dose Rate Profile Surrounding a Waste Repository
165;Jordan;Hill;The Pennsylvania State University;7;ONKALO: A LOOK AT THE FIRST SPENT NUCLEAR FUEL GEOLOGICAL REPOSITORY
170;Amanda;Schweitzer;Pennsylvania State University;6;"A STUDY OF A PWR&rsquo;S WATER CHEMISTRY AND THE EFFECTS ON THE REACTOR OPERATION AND SURROUNDING ENVIRONMENT"
176;Uiju;Jeong;Thermal Hydraulic Laboratory, department of nuclear engineering, Hanyang University, Republic of Korea;22;CFD analysis of liquid sodium flow in the vicinity of permanent magnet probe flow meter using fluent
178;William;Riddle;North Carolina State University;7;FUEL ASSEMBLY DESIGN FOR IMPROVED TRANSURANICS RECYCLING IN LIGHT WATER REACTORS
189;Nadine;Gatto;Pennsylvania State University;8;Design and Objectives of ITER
195;Nam;Phan;Purdue University;22;Evaluating a Riemann Problem in TFIT as Vertical Two-Phase Bubbly Flow
383;Rosemary;Sugrue;Massachusetts Institute of Technology;22;A Modified Mechanistic Model for Predicting Bubble Departure Diameter in Subcooled Flow Boiling
213;Andrew;J. Swift;University of Nevada Las Vegas;23;EVALUATION AND PREPARATION OF URANIUM ALLOYS  BASED ON FUEL BURNUP
218;Elton;Chen;Georgia Institute of Technology ;11;Comparison of Uranium Properties using EAM and MEAM Potentials
219;Nicholas;;Wozniak;23;Photoreduction Synthesis of U (IV) Organophosphate Nanoparticles from Uranyl Perchlorate
222;Aaron;P. Selby;University of Tennessee;11;COMPARISON OF DEFECT PRODUTION BY HIGH-ENERGY DISPLACEMENT CASCADES IN MOLYBDENUM, CHROMIUM, AND IRON
385;Harishchandra;Aryal;Idaho State University;1;Whale System Design
226;Daniel;Curtis;Massachusetts Institute of Technology;16;NUCLEAR SHALE OIL DEVELOPMENT: REACTOR ARRAYS AND SYSTEM EFFECTS
231;Paul;Kristo;University of Pittsburgh;22;CTA Calibration Procedure For Use With Heated Flows
379;Guion;;MIT;22;
236;Mike;Mankosa;The Pennsylvania State University;5;OUTREACH PROGRAMS TO ACCURATELY INFORM THE PUBLIC ABOUT NUCLEAR POWER
244;Jacob;McCallum;ISU;1;HIGHLY ENRICHED URANIUM REACTOR ROCKET PROPULSION SYSTEM MODELLED BY MCNP
247;HyeonJun;Choi;Hanyang University;18;REVISITING ADEQUACY OF THE SIZE OF EMERGENCY PLANNING ZONE FOR NUCLEAR POWER PLANTS
259;David;Woodley;North Carolina State University;11;HIGH TEMPERATURE TEST CAPSULE FOR IRRADIATION EXPERIMENTS IN THE PULSTAR REACTOR
261;Erica;Quarrick;Penn State;7;A PYTHON Pre- and Post-Processing GUI Utility for Generic Repository Thermal Analysis
262;Steven;Stribling;University of Tennessee Knoxville;13;Methodology of Investigating Illicit Nuclear Material at Border Crossings
269;Chris;Antweiler;United States Military Academy;18;Material Optimization of Dry Cask Storage Systems: A Comparison of Attenuation Coefficients in Ultra High Performance Concrete
271;Lauren;Ayers;Massachusetts Institute of Technology;11;Evaluating Equipotential Switching Direct Current Potential Drop as an Online Pipe Monitoring Technique
291;James;Car IV;Virginia Commonwealth University;11;TECHNIQUES TO IMPROVE THE CORROSION RESISTANCE OF METALS
292;Dustin;Langewisch;MIT;12;Uncertainty Quantification for Computational Multiphase Fluid Dynamics
277;Emory;Brown;University of New Mexico;16;Pre-conceptual Design Concept of a Co-Located Component Testing and Plant Health Optimization Facility for a Commercial FHR
279;Hailey;Green;University of Tennessee;18;Studies of Neutron Transport on Lunar Bases
281;Sara;Ferry;MIT;11;Life Prediction of Used Fuel Storage Canister Material
290;Remy;Devoe;University of Tennessee;0;Characterization of Inorganic Scintillators With Synchrotron Radiation: Cerium Dopant Concentration Non-Uniformity From Czochralski Growth Process
293;Nicholas;M. Boulton;Oregon State University ;1;Quasi Steady-State Analysis of Mars Hopper Concept
326;Elliott;Fray;Massachusetts Institute of Technology;11;Materials Testing and Development of Functionally Graded Composite Fuel Cladding and Piping for the Lead-Bismuth Cooled Nuclear Reactor
312;Mario;Ortega;University of New Mexico;20;Characterization of MA Incernation in Modified MYRRHA/XT-ADS Reactor
317;Brent;Cross;University of Illinois at Urbana-Champaign;2;Increasing X-Ray fluorescence emission tomography (XFCT) speed with novel geometries
328;Ryan;Sweet;University of Tennessee;8;Helium Bubble Formation in Plasma Facing Surfaces for Fusion Applications
337;David;Saucier;Sandia National Laboratories/ University of New Mexico;2;Using MCNP to Analyze Radiation Qualifications in Positron Emission Tomography (PET) Suite Environments
344;Brandon;Sorbom;MIT;8;A Molten Salt Liquid Immersion Blanket Design For Use in a Compact, Modular Fusion Reactor
