paper id;First Name;Last Name;Institution;Affiliation;Track;Podium?;title;Follow Up
296;Jordan;Sabella;University of California - Berkeley;Berkeley;10;1;Testing Relativistic Time Dilation Using Cosmic-Ray Muons;
297;Sierra;Treanor;University of Texas at Austin;Texas;6;1;Neutron Activation Analysis as a Preferred Method for Determining Uranium and Thorium Concentrations in Soil;
298;Hong;Jiao;Rensselaer Polytechnic Institute;RPI;22;1;Modeling and Analysis of Thermal Phenomena Governing Bubble Growth and Collapse in Subcooled Boiling;
299;Peter;Maginot;Texas A&M University;TAMU;12;1;Effects of Cross Section Discretization on Pointwise Interaction Rates and Spatial Convergence Rates in Discrete Ordinates DFEM Transport Calculations;
302;Stefan;Badza;Universtiy of Utah;Utah;6;1;Neutron Activation Analysis of Californian and Japanese Rice;
303;Shawn;Pearson;Idaho State University;ISU;7;1;Spent Fuel Heating System;
304;Phillip;Forsberg;Purdue University;Purdue;12;1;Data Encryption of Radiation Signals Using Chaotic Artificial Neural Networks;
306;Ethan;Bates;Massachusetts Institute of Technology;MIT;7;1;Radiological Implications of Extended Storage of Spent Nuclear Fuel;
307;Urairisa;Phathanapirom;University of Texas at Austin;Texas;7;1;Resource Intensities of the Front End of the Nuclear Fuel Cycle;
308;Ethan;Bates;Massachusetts Institute of Technology;MIT;7;1;Onset and Stability of Natural Convection in Deep Boreholes;
309;Conor;Dougherty;United States Military Academy;USMA;12;1;Late Cloud Film Analysis: Determining Cloud Rise From Film;
310;Benjamin;Reinke;Ohio State University;OSU;11;1;Temperature Controlled Cryostat for Electrical and Optical Reactor Irradiation Experiments;
311;Sol;Jeong;Hanyang University;Hanyang;2;1;Dose Evaluation in Accidental Release of Tritium Gas with Consideration of Tritiated Water Vapor Oxidized in Soil;
312;Mario;Ortega;University of New Mexico;UNM;20;0;Reactor Physics Characterization of Minor Actinide Incineration in Modified MYRRHA/XT-ADS Reactor;
313;Dillon;Shaver;Rensselaer Polytechnic Institute;RPI;22;1;Model Development for Large-Scale Nuclear Power Reactor Simulations;
314;Jeff;Webster;Purdue University;Purdue;4;1;Demonstrating Tensioned Metastable Fluid Detectors as Gamma-Blind Nuclear Particle Sensors;
315;Brian;Waite;Rensselaer Polytechnic Institute;RPI;22;1;Multidimensional Analysis of Local Flow Obstacles in Nuclear Reactors;
316;Justin;Mart;Oregon State University;ORST;16;1;Feasibility Study on Soluble Boron-Free Operation in a Prototypical Small Modular Reactor Through an Advanced Control Rod Algorithm;
317;Brent;Cross;University of Illinois at Urbana-Champaign;Illinois;2;0;Increasing X-Ray Fluorescence Emission Tomography (XFET) Speed with Novel Geometry;
319;Lyman;Owen;University of Utah;Utah;10;1;Automated Signal-layered Algorithm for Processing Complex Gamma Radiation Spectra;
320;Jitesh;Kuntawala;University of Florida;UF;18;1;Computational Shielding and Dose Analysis for Student Common Areas Due to a D-D Neutron Generator;
321;David;Frazer;University of California - Berkeley;Berkeley;11;1;Evaluation of Passive Layer Failure Utilizing Micro Bend Bar Testing;
322;Harry;Lindner;University of Texas at Austin;Texas;7;1;Cost Updates to Uranium Recovery from Seawater;
323;Matthew;Verlie;United States Military Academy;USMA;4;1;Optimization of a Delayed Neutron Detector Design;
324;Tim;Garcia;Ohio State University;OSU;4;1;4H-SiC Schottky Diode Alpha Particle Detectors for In-situ Pyroprocessing Safeguards;
325;Derek;West;United States Military Academy;USMA;0;1;Benchmark Rutherford Scattering Experiment Using Pelletron Accelerator;
326;Elliott;Fray;Massachusetts Institute of Technology;MIT;11;0;Materials Testing and Development of Functionally Graded Composite Fuel Cladding and Piping for the Lead-Bismuth Cooled Nuclear Reactor;
328;Ryan;Sweet;University of Tennessee;UTK;8;0;Helium Bubble Formation in Plasma Facing Surfaces for Fusion Reactor Applications;
329;Padhraic;Mulligan;Ohio State University;OSU;4;1;Fabrication and Characterization Of A Freestanding n-Type GaN Radiation Detector;
330;Agnieszka;Czeszumska;University of California - Berkeley;Berkeley;10;1;Beta-Delayed Neutron Spectroscopy Using Trapped Ions: Future Plans and Recent Accomplishments;
333;Lakshana;Huddar;University of California - Berkeley;Berkeley;22;1;Investigation of Natural Convection Heat Transfer in Fluoride Salts Using Simulant Fluids;
334;Christopher;Malachosky;United States Military Academy;USMA;5;1;Design of an Undergraduate X-Ray Fluorescence Laboratory;
335;Trevor;Howard;Oregon State University;ORST;22;1;Computational Fluid Dynamics Analysis of Vortex Shedding Between Inline Plates;
336;Christopher;Malachosky;United States Military Academy;USMA;13;1;Optical Flash Blindness;
337;David;Saucier;University of New Mexico;UNM;2;0;Using MCNP to Analyze Radiation Qualifications in Positron Emission Tomography (PET) Suite Environments;2 Posters
338;David C.;Swan;North Carolina State University;NCSU;4;1;Design of a Next-Generation Neutron Multiplicity Counter Independent of Helium-3;
339;Robert;Flanagan;University of Texas Austin;Texas;7;1;Input Visualization for the Cyclus Nuclear Fuel Cycle Simulator;
340;Gleb;Kuzmin;University of Texas at Austin;Texas;4;1;Minimizing Sample Sizes While Achieving Accurate Elemental Concentrations in Neutron Activation Analysis of Precious Pottery;
341;Philip;Lafreniere;University of New Mexico;UNM;16;1;Natural Circulation Cooled, 80 MWt Small Modular PWR;Title
342;Kristofer;Zieb;Oregon State University;ORST;9;1;Optimal PID Tuning in Coupled Flow Rate-Pressure Control System at the Oregon State Hydro-Mechanical Fuel Test Facility;
343;Daniel;Hogan;University of California - Berkeley;Berkeley;4;1;Approaches To Detecting Coherent Neutrino-Nucleus Scattering with High-Purity Germanium Detectors;
344;Brandon;Sorbom;Massachusetts Institute of Technology;MIT;8;0;A Molten Salt Liquid Immersion Blanket Design For Use in a Compact, Modular Fusion Reactor;Title
345;Lucas;Boron-Brenner;University of Nevada - Las Vegas;UNLV;23;0;Scandium and Titanium Adsorption Data Studies Using Eicrhom's Ln Resin Under Hydrochloric, Nitric, and Sulfuric Acid Conditions;Title
346;Sam;Shaner;Massachusetts Institute of Technology;MIT;20;0;Transient CMFD-accelerated MOC via IQS with Fully-Implicit Coarse-Time Stepping;
348;Haykel;Raouafi;Polytechnique Montreal;PolyMTL;20;1;DRAGON 3D Simulation of Spatial Self-Shielding Effect in Sample Irradiated in SLOWPOKE-2 Reactor;
